19,4,392,0,461,0.0297662266934
22,4,394,0,463,0.0405709946359
6,8,397,0,437,0.0418563470688
7,24,397,0,463,0.0370955343348
7,24,397,0,463,0.0358004881415
312,8,399,0,1739,0.0404290592565
19,8,399,0,466,0.0327808755442
114,2,435,1,727,0.040336082639
124,2,438,1,730,0.0392131040054
40,12,441,0,601,0.0342060223876
347,12,441,0,2923,0.0328289560957
899,8,442,0,3047,0.0329352058917
5,2,452,1,519,0.029725030078
370,8,457,0,1797,0.0328347173116
447,24,457,0,1413,0.0317053131357
1191,32,460,1,3993,0.0429008248458
22,4,461,0,530,0.0283359171451
36,12,461,0,621,0.0258096475557
23,8,464,0,531,0.0305909328653
32,8,466,0,640,0.0267345952669
34,12,515,0,675,0.0284788377744
358,12,518,0,3000,0.0272198607363
7,2,518,1,585,0.025830440859
25,8,520,0,587,0.0241826081874
323,8,521,0,1861,0.0253643775048
30,12,524,0,684,0.0293216445842
30,12,526,0,686,0.0208037436449
7,8,534,0,574,0.0248811549903
6,24,534,0,600,0.0220286586987
897,2,555,1,2878,0.0254426554998
1299,32,593,1,4126,0.0372284681594
806,8,594,0,3199,0.0227616744622
36,8,33,0,207,0.0247184260805
116,2,33,1,325,0.02936120777
381,12,33,0,2515,0.0376792045264
14,2,33,0,133,0.038847975772
903,2,33,1,2356,0.0485122748798
19,8,33,0,100,0.0356472282318
354,12,34,0,1559,0.0322594091701
6,24,51,0,117,0.0328993147337
1110,12,52,0,3755,0.0392983391062
355,8,52,0,1392,0.0283310425061
26,12,55,0,215,0.024665677215
5,8,56,0,96,0.0287565976965
6,24,62,0,128,0.0304051869065
37,8,62,0,236,0.0326663344643
37,8,63,0,237,0.0248960907181
6,2,110,1,177,0.0257903560006
37,8,110,0,284,0.0249649211372
16,4,112,0,181,0.0278722745051
1258,32,112,1,3645,0.0451676308892
5,2,125,0,225,0.0289671281607
898,2,125,1,2448,0.0356273056369
110,2,135,1,427,0.0253268931597
110,2,140,1,432,0.0254683218644
899,2,140,1,2463,0.039812212465
6,2,140,0,240,0.0250256200848
9,2,140,0,240,0.0278080560062
36,8,141,0,315,0.0175408781701
22,4,237,0,306,0.0290292113711
1230,32,238,1,3771,0.0498874632939
899,2,238,1,2561,0.0325043431384
5,24,238,0,304,0.0249829195938
111,2,238,1,530,0.0252801547457
